,discount_factor,input_1_parms,input_2_parms,learning_rate,learning_rate_value,num_hidden_layers,num_neurons_value,out_parms,max_average_reward_100_episodes
68,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.01,4,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.46
38,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.46
26,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,1e-05,4,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.48
29,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.01,8,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.5
96,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.001,4,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.51
19,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,1e-05,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.51
9,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.01,6,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.53
60,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.001,4,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.53
48,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,1e-05,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.53
91,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.01,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.54
56,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,1e-05,2,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.54
57,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,1e-05,4,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.55
61,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.001,6,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.55
34,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.01,2,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.55
42,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.0001,2,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.55
97,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.01,12,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.56
24,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.001,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.58
79,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.001,6,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.59
31,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,1e-05,2,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.63
80,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,1e-05,4,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.63
5,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,1e-05,2,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.65
21,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,1e-05,4,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.65
99,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,1e-05,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.67
0,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,1e-05,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.69
50,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.001,12,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.71
40,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,1e-05,2,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.74
89,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.0001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.78
83,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.0001,8,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.82
11,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,0.001,12,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.83
88,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,12,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.85
69,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,1e-05,12,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.87
2,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.01,1e-05,6,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.9
58,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.0001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",9.93
54,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,1e-05,6,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.09
44,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,8,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.12
53,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,1e-05,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.14
67,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.001,8,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.15
16,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.0001,4,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.16
72,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.001,6,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.41
7,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,8,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.52
95,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.55
76,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.001,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.56
25,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,6,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.59
65,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,8,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.65
47,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,12,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.79
94,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.0001,6,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.84
17,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,4,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.95
59,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,6,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.97
46,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.001,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.98
18,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,1e-05,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.98
4,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",10.98
98,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.001,2,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.04
81,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.001,2,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.04
92,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.04
90,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.0001,4,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.06
71,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,1e-05,8,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.12
10,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,2,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.15
28,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.0001,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.16
45,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,12,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.16
3,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,8,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.16
64,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.0001,4,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.16
35,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.0001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.21
66,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,1e-05,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.23
75,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,8,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.33
52,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.01,8,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.38
32,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.4
87,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,2,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.41
85,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,1e-05,4,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.51
30,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,2,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.52
78,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,2,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.56
73,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,4,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.63
82,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,2,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.65
13,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,4,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.66
86,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.72
41,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.0001,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.74
39,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,12,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.76
8,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.0001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.79
20,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,2,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.8
36,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.0001,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.8
1,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.83
49,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.83
23,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.0001,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.83
22,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,2,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.91
70,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,12,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.93
37,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.93
93,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,8,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.96
27,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,6,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.98
33,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.01,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.98
74,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.99
43,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,4,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.0
77,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,12,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.0
62,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,8,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.0
6,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,6,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.02
55,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.0001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.04
15,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.06
63,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.13
14,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,6,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.21
84,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.01,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.22
51,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.23
12,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,2,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.34
